ds,yhat,yhat_lower,yhat_upper
2003-06-16,76.54655832074843,68.44140683402982,84.83914353063349
2003-06-23,76.42132538293316,67.68237860276372,85.05802714326659
2003-06-30,76.12320383183693,68.12553065229936,85.5812542744302
2003-07-07,76.15554575953493,66.94013048194603,84.94639991874156
2003-07-14,76.62958299043459,68.29095506123988,84.41393241932857
2003-07-21,77.12271940120897,69.1085249815398,86.24571637722612
2003-07-28,77.20959683148344,68.76951651599367,85.44600004571463
2003-08-04,76.96995298786943,68.13263563747365,85.73086043130874
2003-08-11,76.8354042361,68.35961597509794,85.46922467353586
2003-08-18,77.01780025595211,68.78087353129366,85.62045002867607
2003-08-26,75.34830094119589,66.65226548289637,83.65392071396917
2003-09-01,77.322352363841,68.54392817113484,85.47872811010127
2003-09-08,77.17182711846222,69.13062323579642,85.83209228856522
2003-09-15,77.08522264464222,68.39457592466687,86.12417082926497
2003-09-22,77.09070369634357,69.02758084938657,85.50489685429015
2003-09-29,76.90829972680831,68.62234604764538,86.15471959866754
2003-10-06,76.3997644075634,67.53291624840206,84.65224013064271
2003-10-13,75.9051208592523,67.12791327915686,84.10870209337159
2003-10-20,75.88892940293972,67.58825293001294,84.6120582445786
2003-10-27,76.27226757736541,68.00826321919807,85.81957114557456
2003-11-03,76.38842249121083,67.91225995683331,85.57901665500711
2003-11-10,75.79182124833088,67.22039456915954,83.70690596688014
2003-11-17,74.97281924009516,65.92748761271578,82.9706220748201
2003-11-24,74.95914314946071,66.55249281112445,83.66581535284274
2003-12-01,76.09551987567147,67.69988884339548,84.89535802074805
2003-12-08,77.43255136509505,68.50374682195043,86.29400907465588
2003-12-15,77.59898840266857,69.16025852968049,86.13636191208622
2003-12-22,76.28962695136254,68.27745420497078,85.50992723548059
2003-12-29,74.65891318838491,66.21622365410494,83.3341170423597
2004-01-05,74.09707969504176,65.9810560889646,82.37297767010926
2004-01-12,74.75840481085577,66.43827825844218,83.63458096372219
2004-01-19,75.53788064482578,66.6670286867778,84.4320047428575
2004-01-26,75.49936640511643,66.5785166500237,83.86062930561758
2004-02-02,75.03739299340283,66.30349780690034,83.56124693616974
2004-02-09,75.37698029274793,66.83205293551836,83.79033465992663
2004-02-16,77.01124037745636,68.30739605138342,85.83186289205914
2004-02-23,78.95619559720002,70.64011888965413,87.74971400463647
2004-03-01,79.73709414894788,71.40397074962402,88.37608974050903
2004-03-08,78.97818834289569,70.44614791045865,86.93593658945132
2004-03-15,77.7814845684744,69.59616932038448,86.58963289814047
2004-03-22,77.51807908520429,68.34659512321007,86.37499589411594
2004-03-29,78.45775287625632,69.7188532223602,87.18312033378652
2004-04-05,79.72346458358395,71.01763592117004,89.10415453458668
2004-04-12,80.4316047100759,72.00329882387288,89.13568592625496
2004-04-19,80.58507249885498,71.93760189467889,88.91182143192187
2004-04-26,80.7843748265207,72.08212490776492,89.24664140636486
2004-05-04,79.4628022212971,71.36423703018774,88.0538405169181
2004-05-10,81.89485150089698,73.22723757882618,90.74151341790007
2004-05-17,82.08902042708557,73.55425962868809,90.57772033062845
2004-05-24,82.01938070857338,73.31319106193963,90.55723234418473
2004-05-31,82.12404856499387,73.51556292719641,90.73303837001826
2004-06-07,82.53977576120613,74.12071705406865,91.24799322026567
2004-06-14,82.90266868610381,74.53536995699157,91.11786755782045
2004-06-21,82.85152115117235,74.68531427401972,92.07884100977292
2004-06-28,82.5456086573421,74.72091161868268,90.71908601325876
2004-07-05,82.49298838691027,74.34131638739113,91.14024477590037
2004-07-12,82.9080282454379,74.13965145218006,90.98480873226815
2004-07-19,83.43817856683145,74.83278453847691,92.0777416295672
2004-07-26,83.60865204118345,75.28214246568731,91.91009022564377
2004-08-02,83.39867109366848,74.64556942515604,91.81431461981872
2004-08-09,83.21669410120943,74.15807067312548,91.39838357146112
2004-08-16,83.34906610782059,74.59095148139983,91.84817741307164
2004-08-23,83.62689325631897,75.27922186073715,92.31644113511275
2004-08-31,81.74900306976946,72.91821145816503,90.52445867729472
2004-09-06,83.58158846181664,74.75425540865757,92.41393552557112
2004-09-13,83.47020820316293,74.88423090544946,91.95447198025617
2004-09-20,83.4747717759382,74.34494991450866,92.58287831617736
2004-09-27,83.34758556337576,75.03806309592225,91.80822689781706
2004-10-04,82.88578573799175,74.07852836777252,91.5890449778518
2004-10-11,82.34867538615138,73.40907172045011,91.24201832913562
2004-10-18,82.23082796494845,73.31923420329929,90.55409356020628
2004-10-25,82.58189839047013,74.23943576725941,90.9637431241959
2004-11-01,82.79840451561084,74.38538449164297,91.43225756351812
2004-11-08,82.32252056200919,74.20758622002597,91.32377719360217
2004-11-15,81.46880278012446,72.43615806879983,89.33272695230681
2004-11-22,81.25066715763073,72.98570640218088,90.30568686086694
2004-11-29,82.21710029012777,73.29562996141223,90.3503057745422
2004-12-06,83.6274556496641,74.55430204822136,91.35562780456964
2004-12-13,84.0713549279845,75.94668348812853,93.07286388118956
2004-12-20,82.9743270919808,74.24414012286888,91.41786765669119
2004-12-27,81.2823106760628,72.52257678709462,89.41486015230069
2005-01-03,80.47122177260135,71.16593277740105,89.55386884825904
2005-01-10,80.97267607898823,72.49966130996106,89.25574099076398
2005-01-17,81.82694372846281,73.42436361213748,89.99699998039888
2005-01-24,81.94796453085071,73.69561639657313,89.85346502870692
2005-01-31,81.47652789208601,72.85942045680186,90.51713703434974
2005-02-07,81.59632453239269,72.52141350489289,90.23109061400133
2005-02-14,83.03274570260314,74.76358356333814,92.01479861904475
2005-02-21,85.03908208183081,76.2125954340002,93.34591559130253
2005-02-28,86.1026441209596,77.32205341893439,94.59572620099003
2005-03-07,85.57139387119803,77.16359532837859,94.24746744113534
2005-03-14,84.33769278549408,75.37879712241876,92.4999062763229
2005-03-21,83.84584396173214,75.28569914356368,92.53224141525922
2005-03-28,84.61331430563418,76.06034483372804,93.07771982111615
2005-04-04,85.9027489899162,77.24811585875773,94.35169516515803
2005-04-11,86.73899375463056,77.8503189081353,95.41957909126909
2005-04-18,86.95289994722434,78.73503637825598,95.3450436135407
2005-04-25,87.1033349488022,78.53656436055897,95.58777545582196
2005-05-02,87.59517202184658,78.83494485630622,96.44017985983724
2005-05-09,88.19487947679092,78.96973214253495,96.62587166235521
2005-05-16,88.46471549151572,79.96635571033629,97.1723390821603
2005-05-23,88.41147613232295,79.88638050924965,96.91876737940095
2005-05-30,88.45909880511614,79.51764188989583,96.79029232450063
2005-06-06,88.83508043788045,80.10993273154116,97.68575646169487
2005-06-13,89.24331932565684,80.4960523573781,97.56759789657278
2005-06-20,89.2718479536515,80.33154062745567,97.56607943564869
2005-06-27,88.97633735745856,80.22060036047175,97.53410622200545
2005-07-04,88.84641707429817,79.90275486219033,97.25949110284911
2005-07-11,89.18979068989948,80.2146361145454,98.16097718290354
2005-07-18,89.73998866045962,81.00999564930187,98.45183752227159
2005-07-25,89.99346860742128,81.5917955001168,98.86963718703477
2005-08-01,89.82789362383046,81.21135745501478,99.2556723986552
2005-08-08,89.60862455890503,81.08008883633008,98.66133246542992
2005-08-15,89.68461306000279,80.7982006592207,98.2322510096351
2005-08-22,89.96343867271362,81.57128159228652,98.16781159202195
2005-08-29,90.10121146231107,81.7353323726991,97.95424695907825
2005-09-05,89.99166766101604,80.97467917201107,98.69881820429329
2005-09-12,89.85906284059352,81.3226956079551,98.06873450935711
2005-09-19,89.8535587304399,81.30640153100778,98.47506271825065
2005-09-26,89.77371773671533,81.74261175805702,98.2908780178704
2005-10-03,89.36755165937605,81.03850217842852,97.66728058846698
2005-10-10,88.80587073881586,80.55781145426077,97.34821612789804
2005-10-17,88.58866186205333,79.7701622644012,97.06447935029878
2005-10-24,88.88607254565821,79.94859105841243,97.4240790730799
2005-10-31,89.18249904910348,80.95259834169035,98.14916617018586
2005-11-07,88.83777090416321,80.5550460475922,97.35397265838219
2005-11-14,87.985177498149,79.69411120853253,96.52037149896563
2005-11-21,87.5826641074037,78.55158602883849,96.29881499917092
2005-11-28,88.31879439925989,79.67637175915415,96.91070640864582
2005-12-05,89.71802490325707,80.67234755498806,98.38342523710267
2005-12-12,90.38405824241113,81.96308325032122,98.67944342647735
2005-12-19,89.49765048706799,81.29834489355075,98.02176178357801
2005-12-26,87.76133019359101,79.19694507332505,96.4671141625495
2006-01-02,86.68092656116863,78.3709482119847,94.92049896204857
2006-01-09,86.95312733550219,79.04717041986893,95.57107280082535
