ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2003-06-16,71.2102776,67.11051782573135,81.65625458608267,71.2102776,71.2102776,3.1536504221139654,3.1536504221139654,3.1536504221139654,1.5124648220968997,1.5124648220968997,1.5124648220968997,1.6411856000170655,1.6411856000170655,1.6411856000170655,0.0,0.0,0.0,74.36392802211397
2003-06-23,71.36215993383477,66.99371711565547,81.12866934413549,71.36215993383477,71.36215993383477,2.991000579138692,2.991000579138692,2.991000579138692,1.512464822096251,1.512464822096251,1.512464822096251,1.4785357570424413,1.4785357570424413,1.4785357570424413,0.0,0.0,0.0,74.35316051297346
2003-06-30,71.51404226766954,66.70083691202191,81.58861667353716,71.51404226766954,71.51404226766954,2.632161914608375,2.632161914608375,2.632161914608375,1.51246482209873,1.51246482209873,1.51246482209873,1.1196970925096446,1.1196970925096446,1.1196970925096446,0.0,0.0,0.0,74.14620418227791
2003-07-07,71.66592460150432,67.33550925547517,81.34839205432847,71.66592460150432,71.66592460150432,2.5601905711490263,2.5601905711490263,2.5601905711490263,1.512464822101208,1.512464822101208,1.512464822101208,1.0477257490478185,1.0477257490478185,1.0477257490478185,0.0,0.0,0.0,74.22611517265334
2003-07-14,71.81780693533909,67.73162451457544,81.80099980975287,71.81780693533909,71.81780693533909,2.906723076094614,2.906723076094614,2.906723076094614,1.5124648220977874,1.5124648220977874,1.5124648220977874,1.3942582539968265,1.3942582539968265,1.3942582539968265,0.0,0.0,0.0,74.7245300114337
2003-07-21,71.96968926917386,68.29467572039692,82.57753470778322,71.96968926917386,71.96968926917386,3.2931298067814163,3.2931298067814163,3.2931298067814163,1.512464822097139,1.512464822097139,1.512464822097139,1.7806649846842773,1.7806649846842773,1.7806649846842773,0.0,0.0,0.0,75.26281907595528
2003-07-28,72.12157160300863,68.55243392577015,82.6533635674405,72.12157160300863,72.12157160300863,3.312434573328758,3.312434573328758,3.312434573328758,1.5124648220996173,1.5124648220996173,1.5124648220996173,1.7999697512291408,1.7999697512291408,1.7999697512291408,0.0,0.0,0.0,75.43400617633739
2003-08-04,72.2734539368434,67.90234315331432,82.11468509349613,72.2734539368434,72.2734539368434,3.0111168586662367,3.0111168586662367,3.0111168586662367,1.5124648221020955,1.5124648221020955,1.5124648221020955,1.4986520365641411,1.4986520365641411,1.4986520365641411,0.0,0.0,0.0,75.28457079550964
2003-08-11,72.42533627067817,68.00724705031712,82.50080392877116,72.42533627067817,72.42533627067817,2.770703789585056,2.770703789585056,2.770703789585056,1.5124648220955483,1.5124648220955483,1.5124648220955483,1.258238967489508,1.258238967489508,1.258238967489508,0.0,0.0,0.0,75.19604006026323
2003-08-18,72.57721860451294,68.14904575979024,82.6108383156886,72.57721860451294,72.57721860451294,2.7999138094056346,2.7999138094056346,2.7999138094056346,1.5124648220980268,1.5124648220980268,1.5124648220980268,1.287448987307608,1.287448987307608,1.287448987307608,0.0,0.0,0.0,75.37713241391857
2003-08-26,72.75079841460982,67.66948557304649,82.43776467341044,72.75079841460982,72.75079841460982,2.0616623213364105,2.0616623213364105,2.0616623213364105,0.6366968356863613,0.6366968356863613,0.6366968356863613,1.4249654856500495,1.4249654856500495,1.4249654856500495,0.0,0.0,0.0,74.81246073594623
2003-09-01,72.88098327218249,68.30916749529393,82.74658700504345,72.88098327218249,72.88098327218249,2.921949956082232,2.921949956082232,2.921949956082232,1.5124648221029833,1.5124648221029833,1.5124648221029833,1.409485133979249,1.409485133979249,1.409485133979249,0.0,0.0,0.0,75.80293322826472
2003-09-08,73.03286560601725,68.51155739553563,83.39615868653735,73.03286560601725,73.03286560601725,2.829573097297456,2.829573097297456,2.829573097297456,1.5124648220964356,1.5124648220964356,1.5124648220964356,1.3171082752010206,1.3171082752010206,1.3171082752010206,0.0,0.0,0.0,75.86243870331471
2003-09-15,73.18474793985203,69.4493883502998,83.60636821320547,73.18474793985203,73.18474793985203,2.838389160213776,2.838389160213776,2.838389160213776,1.512464822098914,1.512464822098914,1.512464822098914,1.3259243381148618,1.3259243381148618,1.3259243381148618,0.0,0.0,0.0,76.02313710006581
2003-09-22,73.3366302736868,68.91281808835485,83.63622666857933,73.3366302736868,73.3366302736868,2.893199359643265,2.893199359643265,2.893199359643265,1.5124648221041648,1.5124648221041648,1.5124648221041648,1.3807345375391005,1.3807345375391005,1.3807345375391005,0.0,0.0,0.0,76.22982963333006
2003-09-29,73.48851260752157,69.19691169340255,83.82734148615154,73.48851260752157,73.48851260752157,2.684578803750854,2.684578803750854,2.684578803750854,1.5124648221035162,1.5124648221035162,1.5124648221035162,1.1721139816473374,1.1721139816473374,1.1721139816473374,0.0,0.0,0.0,76.17309141127242
2003-10-06,73.64039494135633,69.01083178542297,83.06296308921755,73.64039494135633,73.64039494135633,2.106448209879636,2.106448209879636,2.106448209879636,1.5124648221000956,1.5124648221000956,1.5124648221000956,0.5939833877795409,0.5939833877795409,0.5939833877795409,0.0,0.0,0.0,75.74684315123596
2003-10-13,73.79227727519111,68.46980630229093,83.1471414625025,73.79227727519111,73.79227727519111,1.5400999386662566,1.5400999386662566,1.5400999386662566,1.512464822096675,1.512464822096675,1.512464822096675,0.027635116569581574,0.027635116569581574,0.027635116569581574,0.0,0.0,0.0,75.33237721385737
2003-10-20,73.94415960902589,68.97793919635212,82.73748477562347,73.94415960902589,73.94415960902589,1.4556586654610415,1.4556586654610415,1.4556586654610415,1.5124648220960264,1.5124648220960264,1.5124648220960264,-0.056806156634984915,-0.056806156634984915,-0.056806156634984915,0.0,0.0,0.0,75.39981827448693
2003-10-27,74.09604194286065,69.2772610670984,82.71317897714684,74.09604194286065,74.09604194286065,1.7540311407611675,1.7540311407611675,1.7540311407611675,1.5124648220985046,1.5124648220985046,1.5124648220985046,0.24156631866266265,0.24156631866266265,0.24156631866266265,0.0,0.0,0.0,75.85007308362182
2003-11-03,74.24792427669543,69.21412491354603,83.0991752971312,74.24792427669543,74.24792427669543,1.7602130878036384,1.7602130878036384,1.7602130878036384,1.512464822100983,1.512464822100983,1.512464822100983,0.24774826570265537,0.24774826570265537,0.24774826570265537,0.0,0.0,0.0,76.00813736449906
2003-11-10,74.3998066105302,68.54150516329595,82.99511236045188,74.3998066105302,74.3998066105302,1.0391548959673722,1.0391548959673722,1.0391548959673722,1.5124648220975625,1.5124648220975625,1.5124648220975625,-0.4733099261301903,-0.4733099261301903,-0.4733099261301903,0.0,0.0,0.0,75.43896150649758
2003-11-17,74.55168894436497,67.19551417098948,81.62286677135185,74.55168894436497,74.55168894436497,0.07787350207492331,0.07787350207492331,0.07787350207492331,1.512464822096914,1.512464822096914,1.512464822096914,-1.4345913200219906,-1.4345913200219906,-1.4345913200219906,0.0,0.0,0.0,74.62956244643989
2003-11-24,74.70357127819975,67.33599560101419,81.692203752201,74.70357127819975,74.70357127819975,-0.13232943049218565,-0.13232943049218565,-0.13232943049218565,1.5124648220993924,1.5124648220993924,1.5124648220993924,-1.6447942525915777,-1.6447942525915777,-1.6447942525915777,0.0,0.0,0.0,74.57124184770755
2003-12-01,74.85545361203451,68.32657420715408,82.90998604597864,74.85545361203451,74.85545361203451,0.7201966534906415,0.7201966534906415,0.7201966534906415,1.5124648221018708,1.5124648221018708,1.5124648221018708,-0.7922681686112292,-0.7922681686112292,-0.7922681686112292,0.0,0.0,0.0,75.57565026552516
2003-12-08,75.00733594586929,69.71573285839226,83.88593131906535,75.00733594586929,75.00733594586929,1.7156592549676684,1.7156592549676684,1.7156592549676684,1.5124648220953232,1.5124648220953232,1.5124648220953232,0.20319443287234515,0.20319443287234515,0.20319443287234515,0.0,0.0,0.0,76.72299520083695
2003-12-15,75.15921827970406,69.09027147466169,83.81063329005234,75.15921827970406,75.15921827970406,1.5811217569567773,1.5811217569567773,1.5811217569567773,1.5124648220978016,1.5124648220978016,1.5124648220978016,0.06865693485897588,0.06865693485897588,0.06865693485897588,0.0,0.0,0.0,76.74034003666084
2003-12-22,75.3111006927213,68.38748367011158,82.46023116686024,75.3111006927213,75.3111006927213,0.10567732480261337,0.10567732480261337,0.10567732480261337,1.5124648221002797,1.5124648221002797,1.5124648221002797,-1.4067874972976664,-1.4067874972976664,-1.4067874972976664,0.0,0.0,0.0,75.41677801752391
2003-12-29,75.46298310573854,66.80061533264625,80.98213940990759,75.46298310573854,75.46298310573854,-1.5511864606816614,-1.5511864606816614,-1.5511864606816614,1.5124648221024033,1.5124648221024033,1.5124648221024033,-3.0636512827840647,-3.0636512827840647,-3.0636512827840647,0.0,0.0,0.0,73.91179664505688
2004-01-05,75.61486551875578,66.24703830664421,80.8528828489656,75.61486551875578,75.61486551875578,-2.091625924325116,-2.091625924325116,-2.091625924325116,1.5124648220989827,1.5124648220989827,1.5124648220989827,-3.6040907464240988,-3.6040907464240988,-3.6040907464240988,0.0,0.0,0.0,73.52323959443066
2004-01-12,75.76674793177301,67.10881198469278,81.31456512424914,75.76674793177301,75.76674793177301,-1.4705020860455136,-1.4705020860455136,-1.4705020860455136,1.5124648221014612,1.5124648221014612,1.5124648221014612,-2.9829669081469747,-2.9829669081469747,-2.9829669081469747,0.0,0.0,0.0,74.2962458457275
2004-01-19,75.91863034479024,67.9610128725145,82.11384207665331,75.91863034479024,75.91863034479024,-0.8303394515754072,-0.8303394515754072,-0.8303394515754072,1.5124648221039392,1.5124648221039392,1.5124648221039392,-2.3428042736793464,-2.3428042736793464,-2.3428042736793464,0.0,0.0,0.0,75.08829089321483
2004-01-26,76.07051275780749,67.60062476688499,82.29762994572187,76.07051275780749,76.07051275780749,-1.0619446559864172,-1.0619446559864172,-1.0619446559864172,1.512464822103291,1.512464822103291,1.512464822103291,-2.574409478089708,-2.574409478089708,-2.574409478089708,0.0,0.0,0.0,75.00856810182107
2004-02-02,76.22239517082473,67.04466278102,81.47468528726665,76.22239517082473,76.22239517082473,-1.7070263333000113,-1.7070263333000113,-1.7070263333000113,1.5124648220998704,1.5124648220998704,1.5124648220998704,-3.2194911553998815,-3.2194911553998815,-3.2194911553998815,0.0,0.0,0.0,74.51536883752472
2004-02-09,76.37427758384197,67.73600726481376,82.38635590707783,76.37427758384197,76.37427758384197,-1.52114279556521,-1.52114279556521,-1.52114279556521,1.5124648220964498,1.5124648220964498,1.5124648220964498,-3.0336076176616595,-3.0336076176616595,-3.0336076176616595,0.0,0.0,0.0,74.85313478827676
2004-02-16,76.5261599968592,69.34001043248682,83.64891504387712,76.5261599968592,76.5261599968592,-0.03591386571471465,-0.03591386571471465,-0.03591386571471465,1.5124648220958015,1.5124648220958015,1.5124648220958015,-1.548378687810516,-1.548378687810516,-1.548378687810516,0.0,0.0,0.0,76.49024613114449
2004-02-23,76.67804240987644,71.30598896584678,86.00521471116554,76.67804240987644,76.67804240987644,1.7415055833244268,1.7415055833244268,1.7415055833244268,1.5124648220982795,1.5124648220982795,1.5124648220982795,0.2290407612261472,0.2290407612261472,0.2290407612261472,0.0,0.0,0.0,78.41954799320087
2004-03-01,76.82992482289367,71.94266327727448,86.30609211268538,76.82992482289367,76.82992482289367,2.343280931097552,2.343280931097552,2.343280931097552,1.512464822100758,1.512464822100758,1.512464822100758,0.8308161089967938,0.8308161089967938,0.8308161089967938,0.0,0.0,0.0,79.17320575399123
2004-03-08,76.9818072359109,71.25159852170852,85.71821063450868,76.9818072359109,76.9818072359109,1.4131557437715128,1.4131557437715128,1.4131557437715128,1.5124648220973373,1.5124648220973373,1.5124648220973373,-0.09930907832582439,-0.09930907832582439,-0.09930907832582439,0.0,0.0,0.0,78.39496297968242
2004-03-15,77.13368964892815,70.02491886121659,84.48279767410975,77.13368964892815,77.13368964892815,0.05373075396502911,0.05373075396502911,0.05373075396502911,1.5124648220966888,1.5124648220966888,1.5124648220966888,-1.4587340681316596,-1.4587340681316596,-1.4587340681316596,0.0,0.0,0.0,77.18742040289318
2004-03-22,77.28557206194539,69.29562560108373,84.33021017215904,77.28557206194539,77.28557206194539,-0.3837560821921141,-0.3837560821921141,-0.3837560821921141,1.5124648220991672,1.5124648220991672,1.5124648220991672,-1.896220904291281,-1.896220904291281,-1.896220904291281,0.0,0.0,0.0,76.90181597975328
2004-03-29,77.43745447496264,70.22332894225782,84.59582150652638,77.43745447496264,77.43745447496264,0.3579908883151471,0.3579908883151471,0.3579908883151471,1.5124648221016457,1.5124648221016457,1.5124648221016457,-1.1544739337864984,-1.1544739337864984,-1.1544739337864984,0.0,0.0,0.0,77.79544536327778
2004-04-05,77.58933688797985,72.09773068728866,85.87444639792638,77.58933688797985,77.58933688797985,1.4153346956954842,1.4153346956954842,1.4153346956954842,1.5124648220950982,1.5124648220950982,1.5124648220950982,-0.09713012639961384,-0.09713012639961384,-0.09713012639961384,0.0,0.0,0.0,79.00467158367533
2004-04-12,77.7412193009971,73.05400124995444,86.62159712294294,77.7412193009971,77.7412193009971,1.9295750244193188,1.9295750244193188,1.9295750244193188,1.5124648221003487,1.5124648221003487,1.5124648221003487,0.4171102023189703,0.4171102023189703,0.4171102023189703,0.0,0.0,0.0,79.67079432541642
2004-04-19,77.89310171401434,72.97191488250026,87.18113482076552,77.89310171401434,77.89310171401434,1.9126240855847805,1.9126240855847805,1.9126240855847805,1.5124648221028267,1.5124648221028267,1.5124648221028267,0.4001592634819536,0.4001592634819536,0.4001592634819536,0.0,0.0,0.0,79.80572579959912
2004-04-26,78.04498412703158,72.85264745226064,87.0079300237454,78.04498412703158,78.04498412703158,1.9517130984989923,1.9517130984989923,1.9517130984989923,1.5124648221021786,1.5124648221021786,1.5124648221021786,0.43924827639681385,0.43924827639681385,0.43924827639681385,0.0,0.0,0.0,79.99669722553058
2004-05-04,78.2185640276227,72.15992185656025,86.96431403300092,78.2185640276227,78.2185640276227,1.520730059297151,1.520730059297151,1.520730059297151,0.636696835687902,0.636696835687902,0.636696835687902,0.884033223609249,0.884033223609249,0.884033223609249,0.0,0.0,0.0,79.73929408691986
